bSize,bCount,run,MBspeed,Bspeed
1024,4194304,0,710.42,744934062.53
1024,4194304,1,699.96,733958738.51
1024,4194304,2,728.92,764331892.83
1024,4194304,3,707.72,742093291.57
1024,4194304,4,688.09,721512087.88
1024,4194304,5,667.76,700196905.50
1024,4194304,6,638.54,669556087.87
1024,4194304,7,626.88,657336321.15
1024,4194304,8,612.04,641772856.68
1024,4194304,9,596.22,625185293.36
