call,run,speed
lseek,0,2296324.60
lseek,1,2294482.20
lseek,2,2184088.00
lseek,3,2321232.60
lseek,4,2178424.80
lseek,5,2291056.80
lseek,6,2248973.20
lseek,7,2235791.00
lseek,8,2246196.40
lseek,9,2228097.00
