cached,bSize,bCount,run,MBspeed,Bspeed,seconds
0,2048,1048576,4,273.33,286603686.99,7.49
0,2048,1048576,5,238.61,250203968.66,8.58
0,2048,1048576,6,255.18,267576970.34,8.03
0,2048,1048576,7,260.23,272874195.26,7.87
0,2048,1048576,8,287.85,301829408.82,7.11
0,2048,1048576,9,249.85,261983525.24,8.20
0,4096,524288,0,267.03,279996733.95,7.67
0,4096,524288,1,260.19,272824488.04,7.87
0,4096,524288,2,260.63,273291675.95,7.86
0,4096,524288,3,273.43,286708956.22,7.49
0,4096,524288,4,261.99,274718682.79,7.82
0,4096,524288,5,322.34,337997444.33,6.35
0,4096,524288,6,257.33,269827186.35,7.96
0,4096,524288,7,296.43,310828095.94,6.91
0,4096,524288,8,265.86,278774039.58,7.70
0,4096,524288,9,253.57,265886798.16,8.08
0,8192,262144,0,293.95,308228138.90,6.97
0,8192,262144,1,272.07,285282038.77,7.53
0,8192,262144,2,275.47,288846464.86,7.43
0,8192,262144,3,287.38,301338867.61,7.13
0,8192,262144,4,279.74,293332493.60,7.32
0,8192,262144,5,257.93,270461286.03,7.94
0,8192,262144,6,275.95,289349849.89,7.42
0,8192,262144,7,281.59,295271829.77,7.27
0,8192,262144,8,273.58,286870847.01,7.49
0,8192,262144,9,262.73,275495586.07,7.79
0,16384,131072,0,256.32,268767490.19,7.99
0,16384,131072,1,269.04,282109034.40,7.61
0,16384,131072,2,257.23,269727145.74,7.96
0,16384,131072,3,270.46,283593008.82,7.57
0,16384,131072,4,264.74,277597708.79,7.74
0,16384,131072,5,273.05,286315234.17,7.50
0,16384,131072,6,259.11,271700483.88,7.90
0,16384,131072,7,247.34,259359460.37,8.28
0,16384,131072,8,252.17,264414770.46,8.12
0,16384,131072,9,273.24,286513304.21,7.50
0,32768,65536,0,265.30,278186525.10,7.72
0,32768,65536,1,254.47,266827584.84,8.05
0,32768,65536,2,268.12,281143306.68,7.64
0,32768,65536,3,277.79,291283954.79,7.37
0,32768,65536,4,309.05,324064144.89,6.63
0,32768,65536,5,264.69,277544649.58,7.74
0,32768,65536,6,245.59,257522245.21,8.34
0,32768,65536,7,289.27,303317198.92,7.08
0,32768,65536,8,300.29,314876935.02,6.82
0,32768,65536,9,266.15,279083648.47,7.69
0,65536,32768,0,271.28,284458843.30,7.55
0,65536,32768,1,241.64,253382242.07,8.48
0,65536,32768,2,247.29,259305536.43,8.28
0,65536,32768,3,289.39,303444020.34,7.08
0,65536,32768,4,284.55,298372768.32,7.20
0,65536,32768,5,261.16,273848792.74,7.84
