blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
16384,65536,2,0,0,234.85,246255136.19,4.36
16384,65536,2,0,1,255.79,268215508.37,4.00
16384,65536,2,0,2,192.07,201400241.93,5.33
16384,65536,2,0,3,236.19,247663138.26,4.34
16384,65536,2,0,4,225.73,236695737.91,4.54
32768,65536,2,0,0,220.33,231030339.55,9.30
32768,65536,2,0,1,216.58,227104481.78,9.46
32768,65536,2,0,2,220.44,231151378.50,9.29
32768,65536,2,0,3,224.21,235104641.69,9.13
32768,65536,2,0,4,233.53,244878124.64,8.77
65536,32768,2,0,0,229.76,240924796.26,8.91
65536,32768,2,0,1,230.06,241232373.54,8.90
65536,32768,2,0,2,234.11,245486709.49,8.75
65536,32768,2,0,3,233.08,244406446.68,8.79
65536,32768,2,0,4,217.64,228207397.82,9.41
131072,8192,2,0,0,235.09,246513331.34,4.36
131072,8192,2,0,1,228.90,240019434.96,4.47
131072,8192,2,0,2,234.97,246385386.00,4.36
131072,8192,2,0,3,222.60,233411482.38,4.60
131072,8192,2,0,4,216.44,226954767.65,4.73
262144,8192,2,0,0,249.16,261262175.41,8.22
262144,8192,2,0,1,233.80,245157057.76,8.76
262144,8192,2,0,2,236.06,247522099.58,8.68
262144,8192,2,0,3,226.36,237351803.13,9.05
262144,8192,2,0,4,243.35,255168572.12,8.42
64,33554432,4,0,0,201.30,211074134.42,10.17
64,33554432,4,0,1,205.61,215599097.06,9.96
64,33554432,4,0,2,191.15,200438089.06,10.71
64,33554432,4,0,3,197.29,206878419.89,10.38
64,33554432,4,0,4,207.72,217807339.07,9.86
128,16777216,4,0,0,249.40,261511544.95,8.21
128,16777216,4,0,1,220.50,231216109.11,9.29
128,16777216,4,0,2,269.06,282125637.78,7.61
128,16777216,4,0,3,259.60,272208843.08,7.89
128,16777216,4,0,4,208.07,218179849.97,9.84
256,8388608,4,0,0,232.55,243847877.56,8.81
256,8388608,4,0,1,254.98,267362196.34,8.03
256,8388608,4,0,2,236.60,248093493.25,8.66
256,8388608,4,0,3,248.47,260534454.77,8.24
256,8388608,4,0,4,251.83,264060600.93,8.13
512,4194304,4,0,0,279.50,293080449.63,7.33
512,4194304,4,0,1,285.08,298929646.94,7.18
512,4194304,4,0,2,219.89,230570305.86,9.31
512,4194304,4,0,3,237.27,248792972.11,8.63
512,4194304,4,0,4,278.81,292358373.48,7.35
1024,2097152,4,0,0,268.93,281991090.90,7.62
1024,2097152,4,0,1,225.52,236474015.84,9.08
1024,2097152,4,0,2,246.80,258784820.68,8.30
1024,2097152,4,0,3,277.83,291325210.09,7.37
1024,2097152,4,0,4,256.61,269071198.09,7.98
2048,1048576,4,0,0,233.43,244764973.07,8.77
2048,1048576,4,0,1,225.18,236115264.34,9.10
2048,1048576,4,0,2,229.36,240505329.71,8.93
2048,1048576,4,0,3,251.88,264116265.32,8.13
2048,1048576,4,0,4,205.43,215409130.90,9.97
4096,524288,4,0,0,241.71,253449290.73,8.47
4096,524288,4,0,1,265.98,278896120.16,7.70
4096,524288,4,0,2,243.19,254999473.13,8.42
4096,524288,4,0,3,231.78,243040184.25,8.84
4096,524288,4,0,4,257.55,270060781.81,7.95
8192,262144,4,0,0,229.53,240684233.94,8.92
8192,262144,4,0,1,249.53,261651103.50,8.21
8192,262144,4,0,2,227.03,238053806.23,9.02
8192,262144,4,0,3,244.70,256587738.17,8.37
8192,262144,4,0,4,227.93,239000483.05,8.99
16384,131072,4,0,0,235.45,246891455.48,8.70
16384,131072,4,0,1,238.59,250175135.52,8.58
16384,131072,4,0,2,250.63,262809015.65,8.17
16384,131072,4,0,3,233.61,244959459.51,8.77
16384,131072,4,0,4,235.60,247040116.62,8.69
32768,65536,4,0,0,231.71,242965204.41,8.84
32768,65536,4,0,1,211.23,221489076.33,9.70
32768,65536,4,0,2,257.57,270085164.59,7.95
32768,65536,4,0,3,231.41,242655875.53,8.85
32768,65536,4,0,4,239.47,251105500.61,8.55
65536,32768,4,0,0,257.03,269512802.57,7.97
65536,32768,4,0,1,250.80,262983351.65,8.17
65536,32768,4,0,2,247.05,259045602.28,8.29
65536,32768,4,0,3,218.59,229205599.54,9.37
65536,32768,4,0,4,220.47,231184667.90,9.29
131072,16384,4,0,0,256.18,268628562.82,7.99
131072,16384,4,0,1,259.07,271653366.23,7.91
131072,16384,4,0,2,253.19,265490600.71,8.09
131072,16384,4,0,3,274.04,287355986.37,7.47
131072,16384,4,0,4,258.43,270979785.65,7.92
262144,8192,4,0,0,240.99,252693119.81,8.50
262144,8192,4,0,1,269.61,282702799.14,7.60
262144,8192,4,0,2,266.80,279759309.04,7.68
262144,8192,4,0,3,308.20,323175445.68,6.64
262144,8192,4,0,4,268.82,281878600.44,7.62
64,33554432,8,0,0,196.47,206015686.32,10.42
64,33554432,8,0,1,205.79,215787687.41,9.95
64,33554432,8,0,2,214.22,224626378.43,9.56
64,33554432,8,0,3,204.42,214352582.30,10.02
64,33554432,8,0,4,199.29,208968279.70,10.28
128,16777216,8,0,0,263.51,276306177.49,7.77
128,16777216,8,0,1,269.76,282867764.55,7.59
128,16777216,8,0,2,269.74,282842724.58,7.59
128,16777216,8,0,3,237.38,248907361.88,8.63
128,16777216,8,0,4,251.17,263370285.98,8.15
256,8388608,8,0,0,237.20,248723899.68,8.63
256,8388608,8,0,1,266.26,279198271.85,7.69
256,8388608,8,0,2,271.50,284684644.84,7.54
256,8388608,8,0,3,219.35,230003734.69,9.34
256,8388608,8,0,4,240.72,252416327.88,8.51
512,4194304,8,0,0,231.45,242694817.35,8.85
